filename	refID	dokID	shortTitle	title
nl-20171219-126.xml	lov/2017-12-19-126	NL/lov/2017-12-19-126	Midlertidig lov om tillegg til merverdiavgiftsloven	Midlertidig lov om tillegg til merverdiavgiftsloven
nl-20180323-002.xml	lov/2018-03-23-2	NL/lov/2018-03-23-2	Endringslov til finansforetaksloven mv.	Lov om endringer i finansforetaksloven mv. (innskuddsgaranti og krisehåndtering av banker)
nl-20180323-003.xml	lov/2018-03-23-3	NL/lov/2018-03-23-3	Lov om Bankenes sikringsfond	Lov om Bankenes sikringsfond
nl-20180420-007.xml	lov/2018-04-20-7	NL/lov/2018-04-20-7	Våpenlova	Lov om våpen, skytevåpen, våpendelar og ammunisjon (våpenlova)
nl-20180420-008.xml	lov/2018-04-20-8	NL/lov/2018-04-20-8	Grenseloven	Lov om grensetilsyn og grensekontroll av personer (grenseloven)
nl-20180601-023.xml	lov/2018-06-01-23	NL/lov/2018-06-01-23	Hvitvaskingsloven – hvvl	Lov om tiltak mot hvitvasking og terrorfinansiering (hvitvaskingsloven)
nl-20180601-024.xml	lov/2018-06-01-24	NL/lov/2018-06-01-24	Sikkerhetsloven – sikkl	Lov om nasjonal sikkerhet (sikkerhetsloven)
nl-20180608-028.xml	lov/2018-06-08-28	NL/lov/2018-06-08-28	Fagskoleloven	Lov om høyere yrkesfaglig utdanning (fagskoleloven)
nl-20180615-032.xml	lov/2018-06-15-32	NL/lov/2018-06-15-32	Pakkereiseloven	Lov om pakkereiser og reisegaranti mv. (pakkereiseloven)
nl-20180615-038.xml	lov/2018-06-15-38	NL/lov/2018-06-15-38	Personopplysningsloven	Lov om behandling av personopplysninger (personopplysningsloven)
nl-20180615-040.xml	lov/2018-06-15-40	NL/lov/2018-06-15-40	Åndsverkloven	Lov om opphavsrett til åndsverk mv. (åndsverkloven)
nl-20180615-044.xml	lov/2018-06-15-44	NL/lov/2018-06-15-44	Lov om elektroniske tillitstjenester	Lov om gjennomføring av EUs forordning om elektronisk identifikasjon og tillitstjenester for elektroniske transaksjoner i det indre marked (lov om elektroniske tillitstjenester)
nl-20180622-076.xml	lov/2018-06-22-76	NL/lov/2018-06-22-76	Endringer i alkoholloven mv	Lov om endringer i alkoholloven, atomenergiloven, folkehelseloven, legemiddelloven, lov om medisinsk utstyr og strålevernloven (overtredelsesgebyr mv.)
nl-20180622-077.xml	lov/2018-06-22-77	NL/lov/2018-06-22-77	Endringslov til tobakkskadeloven	Lov om endringer i tobakksskadeloven (ulovlig handel med tobakksvarer mv.)
nl-20180622-083.xml	lov/2018-06-22-83	NL/lov/2018-06-22-83	Kommuneloven	Lov om kommuner og fylkeskommuner (kommuneloven)
nl-20190301-002.xml	lov/2019-03-01-2	NL/lov/2019-03-01-2	Lov om register over reelle rettighetshavere	Lov om register over reelle rettighetshavere
nl-20190301-003.xml	lov/2019-03-01-3	NL/lov/2019-03-01-3	Lov om tilskudd til virksomheter med offentlig tjenestepensjonsordning	Lov om tilskudd til visse private virksomheter med offentlig tjenestepensjonsordning
